t0,lum,lum-error,t,t1,t2,t3,t4,mag_abs,mag_app,dmag,t100,tm,lm,tgmax
-2.8921121,5.36E+43,2.37E+42,0.1078879,7.1078879,17.1078879,27.1078879,47.1078879,-20.61038877,19.52961123,0.048007366,97.1078879,-200,0,2.1078879
-0.63291768,5.40E+43,2.33E+42,2.36708232,9.36708232,19.36708232,29.36708232,49.36708232,-20.6184612,19.5215388,0.046847507,99.36708232,-150,0,4.36708232
2.3793415,5.42E+43,2.54E+42,5.3793415,12.3793415,22.3793415,32.3793415,52.3793415,-20.62247502,19.51752498,0.050881365,102.3793415,-100,0,7.3793415
3.8854711,5.42E+43,2.32E+42,6.8854711,13.8854711,23.8854711,33.8854711,53.8854711,-20.62247502,19.51752498,0.046474317,103.8854711,-50,0,8.8854711
6.8977303,5.39E+43,2.10E+42,9.8977303,16.8977303,26.8977303,36.8977303,56.8977303,-20.61644871,19.52355129,0.042301411,106.8977303,-30,0,11.8977303
9.1569247,5.35E+43,2.27E+42,12.1569247,19.1569247,29.1569247,39.1569247,59.1569247,-20.60836126,19.53163874,0.046067686,109.1569247,-20,0,14.1569247
15.934508,5.18E+43,2.22E+42,18.934508,25.934508,35.934508,45.934508,65.934508,-20.5733012,19.5666988,0.046531552,115.934508,-10,0,20.934508
20.076364,5.04E+43,2.18E+42,23.076364,30.076364,40.076364,50.076364,70.076364,-20.54355314,19.59644686,0.046962399,120.076364,0.1078879,5.36E+43,25.076364
22.335559,4.97E+43,2.12E+42,25.335559,32.335559,42.335559,52.335559,72.335559,-20.52836777,19.61163223,0.046313094,122.335559,2.36708232,5.40E+43,27.335559
26.100883,4.84E+43,2.14E+42,29.100883,36.100883,46.100883,56.100883,76.100883,-20.4995902,19.6404098,0.048005692,126.100883,5.3793415,5.42E+43,31.100883
28.736609,4.75E+43,2.19E+42,31.736609,38.736609,48.736609,58.736609,78.736609,-20.47921082,19.66078918,0.050058153,128.736609,6.8854711,5.42E+43,33.736609
30.619271,4.68E+43,2.11E+42,33.619271,40.619271,50.619271,60.619271,80.619271,-20.46309143,19.67690857,0.048950927,130.619271,9.8977303,5.39E+43,35.619271
34.761128,4.54E+43,2.12E+42,37.761128,44.761128,54.761128,64.761128,84.761128,-20.43011643,19.70988357,0.050699576,134.761128,12.1569247,5.35E+43,39.761128
39.656049,4.38E+43,2.18E+42,42.656049,49.656049,59.656049,69.656049,89.656049,-20.39116208,19.74883792,0.054038925,139.656049,18.934508,5.18E+43,44.656049
42.668308,4.29E+43,1.95E+42,45.668308,52.668308,62.668308,72.668308,92.668308,-20.36862003,19.77137997,0.049351646,142.668308,23.076364,5.04E+43,47.668308
46.0571,4.19E+43,1.90E+42,49.0571,56.0571,66.0571,76.0571,96.0571,-20.34301186,19.79698814,0.049233861,146.0571,25.335559,4.97E+43,51.0571
49.445891,4.10E+43,1.97E+42,52.445891,59.445891,69.445891,79.445891,99.445891,-20.31943644,19.82056356,0.052168301,149.445891,29.100883,4.84E+43,54.445891
51.328553,4.05E+43,1.96E+42,54.328553,61.328553,71.328553,81.328553,101.328553,-20.30611436,19.83388564,0.052544271,151.328553,31.736609,4.75E+43,56.328553
55.846942,3.94E+43,2.00E+42,58.846942,65.846942,75.846942,85.846942,105.846942,-20.27621735,19.86378265,0.055113513,155.846942,33.619271,4.68E+43,60.846942
64.88372,3.73E+43,1.87E+42,67.88372,74.88372,84.88372,94.88372,114.88372,-20.21674888,19.92325112,0.054432351,164.88372,37.761128,4.54E+43,69.88372
67.519446,3.68E+43,1.87E+42,70.519446,77.519446,87.519446,97.519446,117.519446,-20.20209635,19.93790365,0.055171921,167.519446,42.656049,4.38E+43,72.519446
71.28477,3.61E+43,1.82E+42,74.28477,81.28477,91.28477,101.28477,121.28477,-20.18124481,19.95875519,0.054737947,171.28477,45.668308,4.29E+43,76.28477
75.803159,3.53E+43,1.88E+42,78.803159,85.803159,95.803159,105.803159,125.803159,-20.15691356,19.98308644,0.057823911,175.803159,49.0571,4.19E+43,80.803159
88.981793,3.31E+43,1.76E+42,91.981793,98.981793,108.981793,118.981793,138.981793,-20.08704678,20.05295322,0.057730989,188.981793,52.445891,4.10E+43,93.981793
92.747117,3.25E+43,1.74E+42,95.747117,102.747117,112.747117,122.747117,142.747117,-20.0671852,20.0728148,0.058128646,192.747117,54.328553,4.05E+43,97.747117
96.512441,3.20E+43,1.68E+42,99.512441,106.512441,116.512441,126.512441,146.512441,-20.05035175,20.08964825,0.057001151,196.512441,58.846942,3.94E+43,101.512441
100.6543,3.14E+43,1.67E+42,103.6543,110.6543,120.6543,130.6543,150.6543,-20.02980092,20.11019908,0.057744569,200.6543,67.88372,3.73E+43,105.6543
304.73486,1.30E+43,1.00E+42,307.73486,314.73486,324.73486,334.73486,354.73486,-19.07233518,21.06766482,0.08351817,404.73486,70.519446,3.68E+43,309.73486
309.62978,1.27E+43,1.01E+42,312.62978,319.62978,329.62978,339.62978,359.62978,-19.0469861,21.0930139,0.08634595,409.62978,74.28477,3.61E+43,314.62978
313.77164,1.23E+43,8.96E+41,316.77164,323.77164,333.77164,343.77164,363.77164,-19.01223958,21.12776042,0.079091028,413.77164,78.803159,3.53E+43,318.77164
319.04309,1.20E+43,9.40E+41,322.04309,329.04309,339.04309,349.04309,369.04309,-18.98542992,21.15457008,0.085049336,419.04309,91.981793,3.31E+43,324.04309
325.06761,1.16E+43,9.09E+41,328.06761,335.06761,345.06761,355.06761,375.06761,-18.94862177,21.19137823,0.085080535,425.06761,95.747117,3.25E+43,330.06761
332.97479,1.10E+43,9.06E+41,335.97479,342.97479,352.97479,362.97479,382.97479,-18.89095851,21.24904149,0.089425182,432.97479,99.512441,3.20E+43,337.97479
356.69633,9.41E+42,8.66E+41,359.69633,366.69633,376.69633,386.69633,406.69633,-18.72145086,21.41854914,0.099920038,456.69633,103.6543,3.14E+43,361.69633
360.08512,9.13E+42,8.18E+41,363.08512,370.08512,380.08512,390.08512,410.08512,-18.68865374,21.45134626,0.097276256,460.08512,307.73486,1.30E+43,365.08512
364.98004,8.83E+42,7.98E+41,367.98004,374.98004,384.98004,394.98004,414.98004,-18.65237856,21.48762144,0.098122026,464.98004,312.62978,1.27E+43,369.98004
370.62803,8.49E+42,8.20E+41,373.62803,380.62803,390.62803,400.62803,420.62803,-18.60974603,21.53025397,0.104864981,470.62803,316.77164,1.23E+43,375.62803
380.41787,7.80E+42,7.56E+41,383.41787,390.41787,400.41787,410.41787,430.41787,-18.51771331,21.62228669,0.105232894,480.41787,322.04309,1.20E+43,385.41787
383.80666,7.56E+42,7.22E+41,386.80666,393.80666,403.80666,413.80666,433.80666,-18.48378129,21.65621871,0.10369068,483.80666,328.06761,1.16E+43,388.80666
387.57199,7.19E+42,6.87E+41,390.57199,397.57199,407.57199,417.57199,437.57199,-18.42929903,21.71070097,0.103741415,487.57199,335.97479,1.10E+43,392.57199
,,,,,,,,,,,,359.69633,9.41E+42,
,,,,,,,,,,,,363.08512,9.13E+42,
,,,,,,,,,,,,367.98004,8.83E+42,
,,,,,,,,,,,,373.62803,8.49E+42,
,,,,,,,,,,,,383.41787,7.80E+42,
,,,,,,,,,,,,386.80666,7.56E+42,
,,,,,,,,,,,,390.57199,7.19E+42,