MJD,phase,g_ab,g_error,r_ab,r_error,i_ab,i_error,z_ab,z_error,T_BB,T_Bberr,R_BB,R_Bberr,Lum_bol,Lum_bolerr
55767.66989,-2.8921121,19.81723213,0.033203543,19.55303089,0.028979524,19.3135698,0.025710549,19.27059628,0.025038528,7126.41,126.996,30.2605,1.02297,5.36E+43,2.37E+42
55769.92908,-0.63291768,19.84601101,0.033646523,19.51986936,0.028540326,19.28998333,0.025432793,19.26601269,0.024985732,7040.46,122.451,31.1301,1.03661,5.40E+43,2.33E+42
55772.94134,2.3793415,19.88392685,0.034239181,19.4949187,0.028214268,19.27042123,0.025204706,19.26325487,0.024954019,6934.97,117.829,32.1312,1.05738,5.42E+43,2.54E+42
55774.44747,3.8854711,19.90268643,0.034536259,19.4889519,0.028136848,19.26487138,0.025140371,19.263206,0.024953458,6886.05,116.002,32.5699,1.06851,5.42E+43,2.32E+42
55777.45973,6.8977303,19.93974345,0.035130691,19.48752098,0.028118313,19.2601766,0.025086075,19.26547762,0.024979576,6794.44,113.081,33.3454,1.0921,5.39E+43,2.10E+42
55779.71892,9.1569247,19.96713799,0.035576694,19.49371299,0.028198607,19.26148652,0.025101213,19.26907826,0.025021031,6731.16,111.421,33.8431,1.11053,5.35E+43,2.27E+42
55786.49651,15.934508,20.04719786,0.03691285,19.53769417,0.028775567,19.28351321,0.025357127,19.28850137,0.02524584,6566.71,108.454,34.9593,1.16757,5.18E+43,2.22E+42
55790.63836,20.076364,20.09446643,0.037725177,19.57641147,0.029293236,19.30595026,0.025620491,19.30570578,0.025446655,6485.65,107.097,35.3675,1.19001,5.04E+43,2.18E+42
55792.89756,22.335559,20.11968226,0.038165807,19.59962358,0.029608048,19.31997538,0.025786505,19.31654963,0.025574047,6444.53,106.949,35.5476,1.20855,4.97E+43,2.12E+42
55796.66288,26.100883,20.16085857,0.038896427,19.64001962,0.030164004,19.34517449,0.02608749,19.33662247,0.025811547,6383.02,107.02,35.758,1.23851,4.84E+43,2.14E+42
55799.29861,28.736609,20.18898819,0.039403575,19.66877747,0.030566136,19.36359677,0.026309752,19.3520175,0.025995192,6347.69,106.622,35.8066,1.24517,4.75E+43,2.19E+42
55801.18127,30.619271,20.20873997,0.039763628,19.68924157,0.030855557,19.37693007,0.026471796,19.36360746,0.02613431,6322.94,106.88,35.8401,1.25875,4.68E+43,2.11E+42
55805.32313,34.761128,20.25118006,0.040548427,19.73327572,0.031487647,19.40619645,0.026830989,19.39066715,0.026462019,6275.4,107.655,35.8378,1.28659,4.54E+43,2.12E+42
55810.21805,39.656049,20.2994855,0.041460554,19.78225273,0.032205912,19.4396462,0.027247499,19.42499493,0.026883668,6233.25,108.175,35.6812,1.30114,4.38E+43,2.18E+42
55813.23031,42.668308,20.32821395,0.042012719,19.81024589,0.032623778,19.45914567,0.027493278,19.44715186,0.027159384,6214.17,108.33,35.5143,1.30158,4.29E+43,1.95E+42
55816.6191,46.0571,20.35963398,0.042625039,19.83958504,0.033067554,19.47981775,0.02775626,19.472834,0.027482507,6194.52,109.367,35.3271,1.3163,4.19E+43,1.90E+42
55820.00789,49.445891,20.39005759,0.043226445,19.8665267,0.033480382,19.49900341,0.028002582,19.49915812,0.027817697,6179.4,110.465,35.1041,1.32877,4.10E+43,1.97E+42
55821.89055,51.328553,20.40655565,0.043556114,19.88052449,0.033696901,19.50897582,0.028131479,19.51400301,0.028008519,6176.2,110.394,34.9179,1.31911,4.05E+43,1.96E+42
55826.40894,55.846942,20.4449527,0.044333144,19.91144041,0.034180086,19.5308687,0.028416536,19.55008716,0.028477835,6164.62,111.943,34.5609,1.33105,3.94E+43,2.00E+42
55835.44572,64.88372,20.51678177,0.045824144,19.96403201,0.03501801,19.56660374,0.028888045,19.6230957,0.029451585,6165.91,113.758,33.6302,1.31277,3.73E+43,1.87E+42
55838.08145,67.519446,20.536521,0.046242594,19.97770729,0.035239239,19.5752483,0.029003277,19.64433028,0.029741002,6165.59,114.688,33.3953,1.316,3.68E+43,1.87E+42
55841.84677,71.28477,20.56383459,0.046827926,19.99647117,0.035545063,19.5864454,0.029153216,19.67444327,0.03015631,6165.65,115.993,33.0687,1.32024,3.61E+43,1.82E+42
55846.36516,75.803159,20.59526169,0.047510581,20.01829058,0.035904028,19.59841837,0.029314404,19.71003186,0.030654617,6174.79,116.927,32.5746,1.30589,3.53E+43,1.88E+42
55859.54379,88.981793,20.6792732,0.049384726,20.08273111,0.036985482,19.62824728,0.029719867,19.80869593,0.032079584,6197.52,120.198,31.2786,1.27903,3.31E+43,1.76E+42
55863.30912,92.747117,20.70140108,0.049890542,20.10231987,0.037320635,19.63636297,0.02983115,19.83507211,0.03247162,6195.87,121.406,31.0276,1.28406,3.25E+43,1.74E+42
55867.07444,96.512441,20.72280925,0.050384835,20.12263809,0.037671479,19.64465416,0.029945271,19.86052812,0.032854523,6192.7,122.58,30.7979,1.2899,3.20E+43,1.68E+42
55871.2163,100.6543,20.74559536,0.050916328,20.14584472,0.038076235,19.65415908,0.030076633,19.88740796,0.033263745,6202.59,123.386,30.3777,1.27435,3.14E+43,1.67E+42
56075.29686,304.73486,21.84489716,0.084472902,21.10128708,0.059121097,20.3585682,0.041601697,21.01333061,0.05586704,6202.13,186.269,19.2421,1.22054,1.30E+43,1.00E+42
56080.19178,309.62978,21.86895634,0.085414042,21.1278211,0.05984795,20.38231192,0.042059082,21.05058385,0.05683375,6211.49,189.846,18.9464,1.22415,1.27E+43,1.01E+42
56084.33364,313.77164,21.88871644,0.086194844,21.15180276,0.06051257,20.40241373,0.042450239,21.08210543,0.057664778,6272.04,193.788,18.2863,1.18002,1.23E+43,8.96E+41
56089.60509,319.04309,21.91315719,0.087170482,21.18502715,0.061445556,20.42795647,0.042952525,21.12227732,0.058741497,6281.83,198,17.9794,1.18483,1.20E+43,9.40E+41
56095.62961,325.06761,21.94030773,0.08826724,21.22753179,0.062660148,20.45709727,0.043532826,21.16838373,0.060002078,6290.73,203.013,17.6414,1.19199,1.16E+43,9.09E+41
56103.53679,332.97479,21.97526743,0.089699801,21.29148835,0.064533131,20.4955494,0.044310565,21.22960117,0.061717706,6358.17,211.149,16.7954,1.1543,1.10E+43,9.06E+41
56127.25833,356.69633,22.08903278,0.094524539,21.51585716,0.071557719,20.62437321,0.047018854,21.42552448,0.067545191,6432.51,237.178,15.1543,1.14985,9.41E+42,8.66E+41
56130.64712,360.08512,22.10869744,0.095384426,21.54495446,0.072523033,20.64672884,0.04750542,21.45595699,0.06849848,6508.22,242.849,14.5509,1.10077,9.13E+42,8.18E+41
56135.54204,364.98004,22.13997827,0.096768426,21.58230128,0.073781133,20.68200287,0.048283414,21.50128624,0.069943407,6514.77,248.726,14.288,1.10786,8.83E+42,7.98E+41
56141.19003,370.62803,22.18154491,0.098638617,21.61849109,0.075021073,20.72794692,0.049315879,21.555616,0.071715454,6522.06,255.46,13.9885,1.11515,8.49E+42,8.20E+41
56150.97987,380.41787,22.27339113,0.102900206,21.68131303,0.077223175,20.82378541,0.051541194,21.65405046,0.075041174,6590.33,268.69,13.1277,1.07792,7.80E+42,7.56E+41
56154.36866,383.80666,22.31321092,0.104804557,21.71602181,0.078467431,20.86228652,0.05246319,21.68875273,0.076250039,6562.54,271.903,13.0395,1.09364,7.56E+42,7.22E+41
56158.13399,387.57199,22.3639402,0.107281797,21.77722585,0.080710536,20.90824871,0.053585481,21.72706802,0.077607405,6588.41,277.366,12.5922,1.06261,7.19E+42,6.87E+41